wallet,total_unlocked_percentage
0x0047ed7bd6761f61d4278def46b1df2f36703707,70
0x0047fa843509b615e3f763e4e41b3fbd364042af,10
0x00480007efe882ce458494c68be54848aa85352c,75
0x00482a63f8e7708eb212bd9f7cd15e4cf8b68618,80
0x00483de727909b990b4eb4237e74e38838e8ad92,80
0x00499d01a0a7f538bfe1633d671b614c86be623f,75
0x004a8707413c84ce1b4197ac077133d83ae549de,75
0x004b19787c53e4b8f5ffae0008ca57143e78479a,75
0x004b7fea51b72239137d6baf262a5244778a2d30,50
0x004bbc02b702e2f1482b10618d2ed4dcee948a5c,75
0x004cdff934a4a7411e4a56e5cce85d492fb3e0ef,50
0x004d3c553711a060f3722c3f08ae85ca9fd1a723,42.5
0x004d6f85bab68b5b110dbd4e53511a207fa5f9f8,75
0x004d749db97cc46d171de3dafa6dbb727470a6f0,75
0x004da22254f51312b186ddc7a1a1011a91e9556a,10
0x004dd943ca8142e4946fbbf7b653a8d869eea9e9,70
0x004ddfd9ee140cdef9143ff32cc9731e855372c5,80
0x004e29c991aff718baeb87169085009e8b760faf,30
0x004e4c8f96c29eec831d9cca3d473ecd326a1eeb,80
0x004eb1fa8dd088e7261eeb34b2ea06a8be918325,10
0x004f299312c8b422d94552dc83b625bd896e257c,70
0x005003a849989cbe379d652121850130c9a05222,10
0x00502ae84e492266bc131f1636d03913d674ae4c,75
0x005069228540773e32c742fcfb646d0e262739b4,42.5
0x0050d1358f192e74b33211b48b039d5d5e148698,60
0x0051973187e0e569518c463ef74fd25c83e4e4a5,70
0x0052359c74fe32852fabb942ccf95b17a59f287d,30
0x00535b6dd94577c7847bf7943e2567337120645c,20
0x0053b48bb0e65884d7dd5a5455ffb9c7bda30397,70
0x00547716fd7d3768be2bfb2d9646e6b5cbe3cf62,50
0x0054d2e703357b238597b3fae7a053a923f66818,70
0x0054fe0abe74faa1efd0ad3bc981ba9b809ebf97,45
0x0055757250cac40c97f71535f8244a50ba9eb3f5,75
0x00559e74344bed6c6b01b9a16296c374e2fc6db4,60
0x00564d2195526ee0af942750a87182adc2a8d1de,75
0x0056881fe8f8a64c5d18b9d5ba5f6b06fe86b6bf,75
0x0056a70a33de6efb33c566de277c25b59a34e26d,10
0x0056b2891ee80db17d20eaf9f68d5cd174c1fcef,75
0x0057281c2a9fac23ddf7809f864b0fce0193b589,20
0x0057738b58851f145090b147a4705cae512cb680,75
0x00578901c5af9bafcbba03d431e35ad35a451e7d,22.5
0x005794a9df95ef72f2da064b9766ccb70b6e35f9,7.5
